                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.74469,                0.76452,                0.45986,                 1.0277,                0.93959,                0.91455,                0.95815,                0.73779,                0.91517,                 0.8879,                0.92966,                0.64376,                0.71008,                0.73402,                 0.4447,                0.97931,             0.00056525,             0.00056525,             0.00056525
                     85,                0.74907,                0.76758,                0.46383,                 1.0248,                0.92625,                0.91794,                0.95319,                0.74082,                0.90971,                0.89306,                0.93134,                0.63907,                0.69456,                0.72159,                0.44304,                0.96951,               0.000557,               0.000557,               0.000557
                     86,                  0.735,                0.75907,                 0.4507,                 1.0232,                0.92341,                0.92181,                0.95682,                 0.7322,                0.90374,                0.87998,                0.92309,                0.62846,                0.70903,                0.73387,                0.44165,                0.97043,             0.00054875,             0.00054875,             0.00054875
                     87,                0.73568,                0.75835,                0.45133,                 1.0224,                0.91783,                0.93162,                0.96057,                0.74186,                0.91074,                0.89318,                0.93799,                0.64057,                0.69241,                0.72067,                0.42903,                0.97369,              0.0005405,              0.0005405,              0.0005405
                     88,                0.72929,                0.74811,                0.44729,                 1.0245,                0.93248,                0.91981,                0.96128,                0.73865,                0.90876,                0.87984,                0.91388,                0.63323,                0.70045,                0.73062,                 0.4345,                0.96755,             0.00053225,             0.00053225,             0.00053225
                     89,                0.73131,                0.74121,                0.44541,                 1.0255,                0.92832,                0.91418,                0.95995,                0.74562,                0.90667,                0.88625,                0.91932,                0.63381,                0.68953,                0.71598,                0.43608,                0.96625,               0.000524,               0.000524,               0.000524
                     90,                0.73807,                0.76188,                0.45346,                 1.0301,                0.92663,                0.92777,                0.95899,                0.73916,                0.90691,                0.89786,                0.93196,                0.64167,                0.70313,                 0.7188,                0.43558,                 0.9752,             0.00051575,             0.00051575,             0.00051575
                     91,                0.72908,                0.74264,                0.44439,                  1.018,                0.93594,                0.91722,                0.95779,                0.74049,                0.89717,                0.88613,                0.92222,                0.63462,                0.70708,                0.71789,                0.43423,                0.96931,              0.0005075,              0.0005075,              0.0005075
                     92,                0.73283,                0.75723,                0.44488,                 1.0248,                0.92817,                0.93209,                0.95893,                0.73822,                0.90446,                0.88918,                0.92682,                0.63513,                0.70285,                0.71868,                0.43264,                0.97221,             0.00049925,             0.00049925,             0.00049925
                     93,                0.73294,                0.76562,                0.44985,                 1.0269,                0.91727,                0.92799,                0.95798,                0.74321,                0.91148,                0.91176,                0.94118,                0.65456,                0.70064,                0.72105,                0.42937,                0.96921,               0.000491,               0.000491,               0.000491
                     94,                 0.7242,                0.74442,                0.44202,                 1.0219,                0.93789,                 0.9202,                0.96294,                0.74813,                 0.9097,                0.89379,                0.93208,                 0.6448,                0.68153,                0.71663,                0.41964,                 0.9659,             0.00048275,             0.00048275,             0.00048275
                     95,                0.72308,                0.74052,                0.44493,                 1.0205,                0.93843,                0.92238,                0.95848,                0.74348,                0.91785,                0.88793,                0.92552,                0.63695,                0.69076,                0.70988,                0.42597,                0.97166,              0.0004745,              0.0004745,              0.0004745
                     96,                0.71103,                0.73625,                0.43692,                 1.0136,                0.91391,                0.94844,                0.96056,                0.74817,                0.91043,                0.88101,                0.92243,                0.64403,                0.67827,                0.70932,                0.42739,                0.96561,             0.00046625,             0.00046625,             0.00046625
                     97,                 0.7198,                0.74932,                0.43661,                 1.0182,                0.91496,                0.94068,                0.95887,                0.75102,                0.91472,                0.88473,                   0.93,                0.64638,                0.69399,                0.72103,                0.42129,                0.97374,               0.000458,               0.000458,               0.000458
                     98,                0.72275,                0.75444,                0.43765,                 1.0178,                0.90971,                0.93534,                0.95756,                0.74309,                 0.9111,                0.87443,                0.91752,                0.62654,                0.68351,                0.71017,                  0.421,                0.96904,             0.00044975,             0.00044975,             0.00044975
                     99,                0.70609,                0.72341,                0.43136,                 1.0091,                0.93172,                0.92221,                 0.9607,                0.75007,                0.91943,                0.88888,                0.93043,                0.64481,                0.67293,                0.69998,                0.42319,                0.96298,              0.0004415,              0.0004415,              0.0004415
                    100,                0.70746,                0.72352,                  0.428,                 1.0085,                0.94017,                0.91842,                0.96056,                0.75031,                0.91984,                0.90081,                0.92877,                0.65409,                0.68186,                0.70366,                0.42044,                0.96312,             0.00043325,             0.00043325,             0.00043325
                    101,                0.70936,                0.73596,                0.43107,                 1.0127,                0.93538,                0.93021,                0.95979,                0.75171,                0.91804,                0.89782,                0.93112,                 0.6559,                0.67087,                 0.7101,                0.42096,                0.95995,               0.000425,               0.000425,               0.000425
                    102,                0.70442,                0.72326,                0.43192,                 1.0093,                0.93424,                0.93301,                0.96029,                0.74933,                0.89947,                0.89949,                0.92804,                0.65066,                0.68126,                0.71555,                0.41823,                0.95991,             0.00041675,             0.00041675,             0.00041675
                    103,                0.70734,                0.73628,                 0.4311,                 1.0091,                0.94214,                0.93362,                0.96456,                0.75197,                  0.913,                  0.903,                0.93038,                0.65191,                0.67976,                0.70553,                0.41299,                0.96672,              0.0004085,              0.0004085,              0.0004085
                    104,                0.70068,                0.71748,                0.43236,                 1.0092,                0.93217,                0.92587,                0.95806,                0.75239,                0.92469,                0.89222,                0.93173,                0.65945,                0.67585,                0.70718,                0.41365,                0.95978,             0.00040025,             0.00040025,             0.00040025
                    105,                 0.7035,                0.72533,                 0.4313,                 1.0105,                0.93265,                0.93015,                0.95978,                 0.7545,                0.91242,                0.89195,                0.92554,                0.65026,                0.66469,                0.70103,                0.41032,                0.95646,               0.000392,               0.000392,               0.000392
                    106,                0.69535,                0.71225,                0.42653,                 1.0056,                0.93879,                0.92057,                0.96266,                0.75621,                0.92261,                  0.895,                0.93386,                0.65712,                 0.6756,                0.68819,                0.41557,                0.95937,             0.00038375,             0.00038375,             0.00038375
